iter	Passed	Remaining
466	738	842
467	739	840
468	740	838
469	741	836
470	742	834
471	744	832
472	745	830
473	746	828
474	747	826
475	749	824
476	750	823
477	751	821
478	753	819
479	754	817
480	755	815
481	757	813
482	758	811
483	759	809
484	760	807
485	762	805
486	763	804
487	765	802
488	766	800
489	767	799
490	769	797
491	770	795
492	771	793
493	772	791
494	774	789
495	775	788
496	776	786
497	778	784
498	779	783
499	781	781
500	782	779
501	784	778
502	786	776
503	787	774
504	788	772
505	789	770
506	790	769
507	792	767
508	793	765
509	795	763
510	796	762
511	797	760
512	798	758
513	799	756
514	801	754
515	802	752
516	803	750
517	804	748
518	805	746
519	806	744
520	808	742
521	809	741
522	810	739
523	812	737
524	813	735
525	814	733
526	815	732
527	816	730
528	818	728
529	819	726
530	820	724
531	821	722
532	823	721
533	824	719
534	826	718
535	827	716
536	828	714
537	830	712
538	831	710
539	832	709
540	833	707
541	835	705
542	836	704
543	839	703
544	840	701
545	841	700
546	843	698
547	844	696
548	845	694
549	846	692
550	847	691
551	849	689
552	850	687
553	851	685
554	853	683
555	854	682
556	855	680
557	857	678
558	858	677
559	859	675
560	860	673
561	861	671
562	862	669
563	864	667
564	865	666
565	866	664
566	867	662
567	869	661
568	870	659
569	872	657
570	873	656
571	874	654
572	875	652
573	877	650
574	878	649
575	879	647
576	880	645
577	881	643
578	883	642
579	885	641
580	886	639
581	887	637
582	889	636
583	890	634
584	891	632
585	892	630
586	893	628
587	894	627
588	896	625
589	897	623
590	898	621
591	899	620
592	900	618
593	901	616
594	903	614
595	904	612
596	905	611
597	906	609
598	907	607
599	908	605
600	910	604
601	911	602
602	913	601
603	914	599
604	916	598
605	917	596
606	918	594
607	919	593
608	921	591
609	922	589
610	923	587
611	924	586
612	925	584
613	927	582
614	928	581
615	929	579
616	931	577
617	932	576
618	933	574
619	934	572
620	935	571
621	937	569
622	938	567
623	939	566
624	940	564
625	941	562
626	943	561
627	945	559
628	946	558
629	947	556
630	948	554
631	949	553
632	951	551
633	952	549
634	953	548
635	954	546
636	955	544
637	957	543
638	958	541
639	960	540
640	961	538
641	962	536
642	964	535
643	965	533
644	966	531
645	967	530
646	969	528
647	970	527
648	971	525
649	972	523
650	974	522
651	975	520
652	977	519
653	978	517
654	979	515
655	980	514
656	981	512
657	983	511
658	984	509
659	985	507
660	986	506
661	988	504
662	989	503
663	990	501
664	992	499
665	993	498
666	994	496
667	995	494
668	996	493
669	998	491
670	999	489
671	1000	488
672	1001	486
673	1003	485
674	1005	483
675	1006	482
676	1007	480
677	1008	479
678	1010	477
679	1011	475
680	1012	474
681	1013	472
682	1014	471
683	1016	469
684	1017	467
685	1019	466
686	1020	464
687	1021	463
688	1022	461
689	1024	460
